94760	 MEASURE BLOOD OXYGEN LEVEL 
E0983	 Add pwr joystick 
E0984	 Add pwr tiller 
E0985	 W/c seat lift mechanism 
E0986	 Man w/c push-rim powr system 
E0988	 Lever-activated wheel drive 
E0990	 Wheelchair elevating leg res 
E0992	 Wheelchair solid seat insert 
E0994	 Wheelchair arm rest 
E0995	 Wheelchair calf rest 
E1002	 Pwr seat tilt 
E1003	 Pwr seat recline 
E1004	 Pwr seat recline mech 
E1005	 Pwr seat recline pwr 
E1006	 Pwr seat combo w/o shear 
E1007	 Pwr seat combo w/shear 
E1008	 Pwr seat combo pwr shear 
E1010	 Add pwr leg elevation 
E1014	 Reclining back add ped w/c 
E1015	 Shock absorber for man w/c 
E1016	 Shock absorber for power w/c 
E1017	 Heavy duty shock absorber for heavy duty or extra heavy duty manual wheelchair, each 
E1020	 Residual limb support system 
E1028	 W/c manual swingaway 
E1029	 W/c vent tray fixed 
E1030	 W/c vent tray gimbaled 
E1031	 Rollabout chair with casters 
E1035	 PATIENT TRANSFER SYSTEM <300 
E1036	 PATIENT TRANSFER SYSTEM >300 
E1037	 Transport chair, ped size 
E1038	 TRANSPORT CHAIR PT WT<=300LB 
E1039	 TRANSPORT CHAIR PT WT >300LB 
E1050	 WHELCHR FXD FULL LENGTH ARMS 
E1060	 WHEELCHAIR DETACHABLE ARMS 
E1070	 WHEELCHAIR DETACHABLE FOOT R 
E1083	 HEMI-WHEELCHAIR FIXED ARMS 
E1084	 HEMI-WHEELCHAIR DETACHABLE A 
E1085	 HEMI-WHEELCHAIR FIXED ARMS 
E1086	 HEMI-WHEELCHAIR DETACHABLE A 
E1087	 WHEELCHAIR LIGHTWT FIXED ARM 
E1088	 WHEELCHAIR LIGHTWEIGHT DET A 
E1089	 WHEELCHAIR LIGHTWT FIXED ARM 
E1090	 WHEELCHAIR LIGHTWEIGHT DET A 
E1092	 WHEELCHAIR WIDE W/ LEG RESTS 
E1093	 WHEELCHAIR WIDE W/ FOOT REST 
E1100	 WHCHR S-RECL FXD ARM LEG RES 
E1110	 WHEELCHAIR SEMI-RECL DETACH 
E1130	 WHLCHR STAND FXD ARM FT REST 
E1140	 WHEELCHAIR STANDARD DETACH A 
E1150	 WHEELCHAIR STANDARD W/ LEG R 
E1160	 Wheelchair, fixed full length arms, swing away detachable elevating legrests 
E1161	 Manual adult wc w tiltinspac 
E1170	 WHLCHR AMPU FXD ARM LEG REST 
E1171	 WHEELCHAIR AMPUTEE W/O LEG R 
E1172	 WHEELCHAIR AMPUTEE DETACH AR 
E1180	 WHEELCHAIR AMPUTEE W/ FOOT R 
E1190	 WHEELCHAIR AMPUTEE W/ LEG RE 
E1195	 WHEELCHAIR AMPUTEE HEAVY DUT 
E1200	 WHEELCHAIR AMPUTEE FIXED ARM 
E1221	 WHEELCHAIR SPEC SIZE W FOOT 
E1222	 WHEELCHAIR SPEC SIZE W/ LEG 
E1223	 WHEELCHAIR SPEC SIZE W FOOT 
E1224	 WHEELCHAIR SPEC SIZE W/ LEG 
E1225	 MANUAL SEMI-RECLINING BACK 
E1226	 MANUAL FULLY RECLINING BACK 
E1227	 WHEELCHAIR SPEC SZ SPEC HT A 
E1228	 WHEELCHAIR SPEC SZ SPEC HT B 
E1230	 POWER OPERATED VEHICLE 
E1231	 RIGID PED W/C TILT-IN-SPACE 
E1232	 FOLDING PED WC TILT-IN-SPACE 
E1233	 Rig ped wc tltnspc w/o seat 
E1234	 FLD PED WC TLTNSPC W/O SEAT 
E1235	 RIGID PED WC ADJUSTABLE 
E1236	 FOLDING PED WC ADJUSTABLE 
E1237	 RGD PED WC ADJSTABL W/O SEAT 
E1238	 FLD PED WC ADJSTABL W/O SEAT 
E1240	 WHCHR LITWT DET ARM LEG REST 
E1270	 WHEELCHAIR LIGHTWEIGHT LEG R 
E1280	 WHCHR H-DUTY DET ARM LEG RES 
E1285	 WHEELCHAIR HEAVY DUTY FIXED 
E1290	 WHEELCHAIR HVY DUTY DETACH A 
E1295	 WHEELCHAIR HEAVY DUTY FIXED 
E1296	 Wheelchair special seat heig 
E1297	 Wheelchair special seat dept 
E1298	 Wheelchair spec seat depth/w 
E1310	 Whirlpool non-portable 
E1353	 Oxygen supplies regulator 
E1355	 Oxygen supplies stand/rack 
E1356	 BATT PACK/CART, PORT CONC 
E1357	 BATTERY CHARGER, PORT CONC 
E1358	 DC POWER ADAPTER, PORT CONC 
E1372	 Oxy suppl heater for nebuliz 
E1390	 OXYGEN CONCENTRATOR 
E1391	 Oxygen concentrator, dual 
E1392	 PORTABLE OXYGEN CONCENTRATOR 
E1399	 DURABLE MEDICAL EQUIPMENT MI, BRAD Specific items 
E1405	 Oxygen and water vapor enriching system with heated delivery 
E1406	 O2/water vapor enrich w/o he 
E2201	 Man w/ch acc seat w>=20"<24" 
E2202	 Seat width 24-27 in 
E2203	 Frame depth less than 22 in 
E2204	 Frame depth 22 to 25 in 
E2205	 Manual wc accessory, handrim 
E2206	 Complete wheel lock assembly 
E2207	 Crutch and cane holder 
E2208	 Cylinder tank carrier 
E2209	 Arm trough each 
E2210	 Wheelchair bearings 
E2211	 Pneumatic propulsion tire 
E2212	 Pneumatic prop tire tube 
E2213	 Pneumatic prop tire insert 
E2214	 Pneumatic caster tire each 
E2215	 Pneumatic caster tire tube 
E2216	 Manual wheelchair accessory, foam filled propulsion tire, any size, each 
E2217	 MANUAL WHEELCHAIR ACCESSORY, FOAM FILLED CASTER TIRE, ANY SIZE, EACH 
E2218	 Manual wheelchair accessory, foam propulsion tire, any size, each 
E2219	 Foam caster tire any size ea 
E2220	 Solid propulsion tire each 
E2221	 Solid caster tire each 
E2222	 Solid caster integrated whl 
E2224	 Propulsion whl excludes tire 
E2225	 Caster wheel excludes tire 
E2226	 Caster fork replacement only 
E2227	 Gear reduction drive wheel 
E2228	 Mwc acc, wheelchair brake 
E2231	 Solid seat support base 
E2310	 Electro connect btw control 
E2311	 Electro connect btw 2 sys 
E2312	 Mini-prop remote joystick 
E2313	 Pwc harness, expand control 
E2321	 Hand interface joystick 
E2322	 Mult mech switches 
E2323	 Special joystick handle 
E2324	 Chin cup interface 
E2325	 Sip and puff interface 
E2326	 Breath tube kit 
E2327	 Head control interface mech 
E2328	 Head/extremity control inter 
E2329	 Head control nonproportional 
E2330	 Head control proximity switc 
E2340	 W/c wdth 20-23 in seat frame 
E2341	 W/c wdth 24-27 in seat frame 
E2342	 W/c dpth 20-21 in seat frame 
E2343	 W/c dpth 22-25 in seat frame 
E2351	 Electronic sgd interface 
E2359	 Gr34 sealed leadacid battery 
E2360	 22NF NONSEALED LEADACID 
E2361	 22NF SEALED LEADACID BATTERY 
E2362	 GR24 NONSEALED LEADACID 
E2363	 GR24 SEALED LEADACID BATTERY 
E2364	 U1NONSEALED LEADACID BATTERY 
E2365	 U1 SEALED LEADACID BATTERY 
E2366	 BATTERY CHARGER, SINGLE MODE 
E2367	 BATTERY CHARGER, DUAL MODE 
E2368	 Pwr wc drivewheel motor repl 
E2369	 Pwr wc drivewheel gear repl 
E2370	 Pwr wc dr wh motor/gear comb 
E2371	 GR27 SEALED LEADACID BATTERY 
E2372	 GR27 NON-SEALED LEADACID 
E2373	 Hand/chin ctrl spec joystick 
E2374	 Hand/chin ctrl std joystick 
E2375	 Non-expandable controller 
E2376	 Expandable controller, repl 
E2377	 Expandable controller, initl 
E2378	 Pw actuator replacement 
E2381	 Pneum drive wheel tire 
E2382	 Tube, pneum wheel drive tire 
E2383	 Insert, pneum wheel drive 
E2384	 Pneumatic caster tire 
E2385	 Tube, pneumatic caster tire 
E2386	 Foam filled drive wheel tire 
E2387	 Foam filled caster tire 
E2388	 Foam drive wheel tire 
E2389	 Foam caster tire 
E2390	 Solid drive wheel tire 
E2391	 Solid caster tire 
E2392	 Solid caster tire, integrate 
E2394	 Drive wheel excludes tire 
E2395	 Caster wheel excludes tire 
E2396	 Caster fork 
E2397	 Pwc acc, lith-based battery 
E2402	 Neg press wound therapy pump 
E2601	 Gen w/c cushion wdth < 22 in 
E2602	 Gen w/c cushion wdth >=22 in 
E2603	 Skin protect wc cus wd <22in 
E2604	 Skin protect wc cus wd>=22in 
E2605	 Position wc cush wdth <22 in 
E2606	 Position wc cush wdth>=22 in 
E2607	 Skin pro/pos wc cus wd <22in 
E2608	 Skin pro/pos wc cus wd>=22in 
E2611	 Gen use back cush wdth <22in 
E2612	 Gen use back cush wdth>=22in 
E2613	 Position back cush wd <22in 
E2614	 Position back cush wd>=22in 
E2615	 Pos back post/lat wdth <22in 
E2616	 Pos back post/lat wdth>=22in 
E2619	 Replace cover w/c seat cush 
E2620	 Wc planar back cush wd <22in 
E2621	 Wc planar back cush wd>=22in 
E2622	 Adj skin pro w/c cus wd<22in 
E2623	 Adj skin pro wc cus wd>=22in 
E2624	 Adj skin pro/pos cus<22in 
E2625	 Adj skin pro/pos wc cus>=22 
E2626	 Seo mobile arm sup att to wc 
E2627	 Arm supp att to wc rancho ty 
E2628	 Mobile arm supports reclinin 
E2629	 Friction dampening arm supp 
E2630	 Monosuspension arm/hand supp 
E2631	 Elevat proximal arm support 
E2632	 Offset/lat rocker arm w/ela 
E2633	 Mobile arm support supinator 
K0001	 STANDARD WHEELCHAIR 
K0002	 STND HEMI (LOW SEAT) WHLCHR 
K0003	 LIGHTWEIGHT WHEELCHAIR 
K0004	 HIGH STRENGTH LTWT WHLCHR 
K0005	 ULTRALIGHTWEIGHT WHEELCHAIR 
K0006	 HEAVY DUTY WHEELCHAIR 
K0007	 EXTRA HEAVY DUTY WHEELCHAIR 
K0008	 CSTM MANUAL WHEELCHAIR/BASE 
K0009	 OTHER MANUAL WHEELCHAIR/BASE 
K0010	 STND WT FRAME POWER WHLCHR 
K0011	 STND WT PWR WHLCHR W CONTROL 
K0012	 LTWT PORTBL POWER WHLCHR 
K0013	 CUSTOM POWER WHLCHR BASE 
K0015	 Detach non-adjus hght armrst 
K0017	 Detach adjust armrest base 
K0018	 Detach adjust armrst upper 
K0019	 Arm pad each 
K0020	 Fixed adjust armrest pair 
K0037	 High mount flip-up footrest 
K0038	 Leg strap each 
K0039	 Leg strap h style each 
K0040	 Adjustable angle footplate 
K0041	 Large size footplate each 
K0042	 Standard size footplate each 
K0043	 Ftrst lower extension tube 
K0044	 Ftrst upper hanger bracket 
K0045	 Footrest complete assembly 
K0046	 Elevat legrst low extension 
K0047	 Elevat legrst up hangr brack 
K0050	 Ratchet assembly 
K0051	 Cam relese assem ftrst/lgrst 
K0052	 Swingaway detach footrest 
K0053	 Elevate footrest articulate 
K0056	 Seat ht <17 or >=21 ltwt wc 
K0065	 Spoke protectors 
K0069	 Rear whl complete solid tire 
K0070	 Rear whl compl pneum tire 
K0071	 Front castr compl pneum tire 
K0072	 Frnt cstr cmpl sem-pneum tir 
K0073	 Caster pin lock each 
K0077	 Front caster assem complete 
K0098	 Drive belt power wheelchair 
K0099	 FRONT CASTER FOR POWER WHEELCHAIR, EACH 
K0105	 IV HANGER 
K0108	 WHEELCHAIR COMPONENT OR ACCESSORY, NOT OTHERWISE SPECIFIED 
K0195	 Elevating whlchair leg rests 
K0552	 Supply/ext inf pump syr type 
K0601	 Repl batt silver oxide 1.5 v 
K0602	 Repl batt silver oxide 3 v 
K0603	 Repl batt alkaline 1.5 v 
K0604	 Repl batt lithium 3.6 v 
K0605	 Repl batt lithium 4.5 v 
K0733	 12-24hr sealed lead acid 
K0738	 Portable gas oxygen system 
K0739	 REPAIR/SVC DME NON-OXYGEN EQ 
K0740	 REPAIR/SVC OXYGEN EQUIPMENT 
K0800	 POV GROUP 1 STD UP TO 300LBS 
K0801	 POV GROUP 1 HD 301-450 LBS 
K0802	 POV GROUP 1 VHD 451-600 LBS 
K0806	 POV GROUP 2 STD UP TO 300LBS 
K0807	 POV GROUP 2 HD 301-450 LBS 
K0808	 POV GROUP 2 VHD 451-600 LBS 
K0813	 PWC GP 1 STD PORT SEAT/BACK 
K0814	 PWC GP 1 STD PORT CAP CHAIR 
K0815	 PWC GP 1 STD SEAT/BACK 
K0816	 PWC GP 1 STD CAP CHAIR 
K0820	 PWC GP 2 STD PORT SEAT/BACK 
K0821	 PWC GP 2 STD PORT CAP CHAIR 
K0822	 PWC GP 2 STD SEAT/BACK 
K0823	 PWC GP 2 STD CAP CHAIR 
K0824	 PWC GP 2 HD SEAT/BACK 
K0825	 PWC GP 2 HD CAP CHAIR 
K0826	 PWC GP 2 VHD SEAT/BACK 
K0827	 PWC GP VHD CAP CHAIR 
K0828	 PWC GP 2 XTRA HD SEAT/BACK 
K0829	 PWC GP 2 XTRA HD CAP CHAIR 
K0835	 PWC GP2 STD SING POW OPT S/B 
K0836	 PWC GP2 STD SING POW OPT CAP 
K0837	 PWC GP 2 HD SING POW OPT S/B 
K0838	 PWC GP 2 HD SING POW OPT CAP 
K0839	 PWC GP2 VHD SING POW OPT S/B 
K0840	 PWC GP2 XHD SING POW OPT S/B 
K0841	 PWC GP2 STD MULT POW OPT S/B 
K0842	 PWC GP2 STD MULT POW OPT CAP 
K0843	 PWC GP2 HD MULT POW OPT S/B 
K0848	 PWC GP 3 STD SEAT/BACK 
K0849	 PWC GP 3 STD CAP CHAIR 
K0850	 PWC GP 3 HD SEAT/BACK 
K0851	 PWC GP 3 HD CAP CHAIR 
K0852	 PWC GP 3 VHD SEAT/BACK 
K0853	 PWC GP 3 VHD CAP CHAIR 
K0854	 PWC GP 3 XHD SEAT/BACK 
K0855	 PWC GP 3 XHD CAP CHAIR 
K0856	 PWC GP3 STD SING POW OPT S/B 
K0857	 PWC GP3 STD SING POW OPT CAP 
K0858	 PWC GP3 HD SING POW OPT S/B 
K0859	 PWC GP3 HD SING POW OPT CAP 
K0860	 PWC GP3 VHD SING POW OPT S/B 
K0861	 PWC GP3 STD MULT POW OPT S/B 
K0862	 PWC GP3 HD MULT POW OPT S/B 
K0863	 PWC GP3 VHD MULT POW OPT S/B 
K0864	 PWC GP3 XHD MULT POW OPT S/B 
L7900	 Male vacuum erection system 
L8500	 ARTIFICIAL LARYNX 
L8501	 TRACHEOSTOMY SPEAKING VALVE 
L8505	 ARTIFICIAL LARYNX, ACCESSORY 
S9500	Therapy Every 24 hours
S9501	Therapy Every 12 hours
S9502	Therapy Every 8 hours
S9503	Therapy Every 6 hours
S9504	Therapy Every 4 hours
S9497	Therapy Every 3 hours
HCPCS	All drugs:  Anti-Infective Drugs, Diluent, Solution, Heparin, Saline, Sterile Water, etc.
S9330	Chemotherapy, continuous (24 hours or more) Therapy Per Diem
S9331	Chemotherapy, intermittent (Less than 24 hours) Therapy per Diem
S9374	1.0 liter of solution
S9375	>1.0 liters to 2.0 liters
S9376	>2.0 liters to 3.0 liters
S9377	>3.0 liters
S9326	Continuous (24 hours or more) Pain Therapy Per Diem
S9327	Intermittent (Less than 24 hours) Pain Therapy Per Diem
S9328	Implanted Pump Management Per Diem
S5498	Simple (single lumen)
S5501	Complex (more than one lumen)
S9365	TPN 1 liter of solution
S9366	TPN > 1 liter - 2 liters
S9367	TPN > 2 liters - 3 liters
S9368	TPN > 3 liters
S9490	Corticosteroid Therapy Per Diem
S9348	Inotropic Therapy Per Diem
S9351	Continuous Anti-Emetic Infusion Per Diem
S9370	Intermittent Anti-Emetic Infusion Per Diem
S9355	Chelation Therapy (Desferal) Per Diem
S9361	Duretic Therapy (e.g. Lasix, Mannitol, Bumex) Per Diem
S9336	Home Infusion Therapy, Continuous Anti-Coagulant Infusion Therapy (e.g. Heparin) Per Diem
S9372	Home Infusion Therapy, Intermittent Anti-Coagulant Injection Therapy (e.g. Lovenox, Fragmin, Arixtra) Per Diem
S9363	Anti-Spasmotic Therapy (e.g. Baclofan) Per Diem
S9338	Immunoglobulin Agents Therapy Per Diem
S9345	Anti-Hemophilia Factors Therapy Per Diem
S9357	Enzyme Replacement Therapy (e.g. Ceredase/Cerezyme) Per Diem
S9359	Anti-tumor Necrosis Factor Per Diem
S9537	Hemotopoetic HormoneTherapy Per Diem (Erythropoietin, G-CSF, Neupogen)
S9558	Growth Hormone Therapy Per Diem
S9559	Interferon Therapy Per Diem
S9562	Palivizumab Drug Therapy (e.g. Synagis) Per Diem
S9560	Hormonal Therapy Per Diem
S9430	Pharmacy Compounding and Dispensing Services
S9379	Home Infusion Therapy, not otherwise classified Per Diem
S9542	Home Injectable Therapy, not otherwise classified Per Diem
B4178	 Aminosyn II 15% 2000 mL  
B4178	 Clinisol SF 15% 2000 mL  
B4178	 Prosol SF 20 % 2000 mL  
B4178	 Travasol 10% 1000 mL  
B4180	 Dextrose 70% 2000 mL  
B4180	 Dextrose 70% 500 mL  
B4185	 Intralipid 10% 500 mL  
B4185	 Intralipid 20% 2S0 mL  
B4185	 Intralipid 20% 500 mL  
B4185	 Intralipid 20% 500 mL Bot  
B4185	 Intrallpld 20% 1000 mL  
B4185	 Lipids 20% 200 mL  
B4185	 Lipids 20% 500 mL  
B4193	 ClinimixlDextrose (4.25/10) IV  
B4193	 ClinimixlDextrose (4.25/20) IV  
B4216	 Folic Acid 5 mg/mL 10 mL  
B4216	 Infuvite Adult w/Vitamin K  
B4216	 Infuvite Pediatric IV Inj.
B4216	 M.T.E.-4 Conc. SDV 1 ml  
B4216	 M.T.E.-5. Conc. SDV 1mL  
B4216	 M.V.I. Adult 2X5 mL Vials  
B4216	 M.V.I. Adult SDV 10 mL  
B4216	 Potassium Acetate 40mEq/20 mL  
B4216	 Potassium Phosphate 3 mM/ mL 15mL  
B4216	 Sodium Acetate 40 mEq/20 mL  
B4216	 Sodium Acetate 100 mEq/50 mL  
B4216	 Sodium Chloride Conc.4mEq/mL 100mL  
B4216	 Sodium Chloride Conc.4mEq/mL 30 mL  
B4216	 Sodium Chloride Intravenous Sol 1000ml  
B4216	 Sodium Phosphate 45 mM/15 mL  
J0129	 Orencia for IV 250 mg  
J0132	 Acetylcysteine IV Soln 6000 mg/30 m  
J0133	 Acyclovir Sodium 500 mg vial  
J0133	 Acyclovir Sodium 500 mg/10 mL vial  
J0133	 Acyclovir Sodium 1000 mg/20 mL   
J0256	 Zemaira Intravenous Solution Recons  
J0278	 Amikacin Sulfate 1000 mg/4 mL  
J0278	 Amikacin Sulfate 250 mg/mL 4 mL  
J0278	 Amikacin Sulfate 500 mg/2 mL  
J0278	 Amikacin Sulfate 500 mg/2 mL SDV  
J0280	 Aminophylline 500 mg/20 mL  
J0280	 Aminophylline IV 250 mg/10 mL  
J0287	Abelcet IV Susp 100 mg/20 mL
J0289	AmBisome 50 mg  
J0290	 Ampicillin Sodium 1 Gm  
J0290	 Ampicillin Sodium 2 Gm  
J0290	 Ampicillin Sodium 250 mg  
J0290	 Ampicillin Sodium 500 mg  
J0295	 Ampicillin Sulbactam 1.5 Gm  
J0295	 Ampicillin-Sulbactam 1.5 Gm  
J0295	Ampicillin-Sulbactam 1.5
J0295	 Ampicillin-Sulbactam 3 Gm  
J0295	Ampicillin-Sulbactam 3 Gm  
J0295	 Unasyn 1.5 Gm  
J0295	 Unasyn 3 Gm  
J0348	 Eraxis 50 mg +Diluent  
J0348	 Eraxis SWFI 100 mg  
J0456	 Azithromycin 500 mg  
J0456	 Azithromycin IV 500 mg  
J0456	 Zithromax 500 mg  
J0585	 Botox 1M Type A 100 units  
J0610	 Calcium Gluconate 10% 10 mL  
J0610	 Calcium Gluconate 10% 50 mL  
J0610	 Calcium Gluconate 10% 50 mL APP  
J0630	Miacalcin Inj. 200 units/mL 2 mL
J0637	 Cancidas 50 mg  
J0640	 Leucovorin Calcium 100 mg  
J0640	 Leucovorin Calcium 350 mg  
J0640	 Leucovorin Calcium 500 mg/50 mL  
J0641	Fusilev for IV 50 mg
J0690	 Cefazolin 1 Gm  
J0690	 Cefazolin 10 Gm  
J0690	 Cefazolin 1 Gm in 50 mL Iso-Osmotic  
J0690	 Cefazolin Sod. 10 Gm  
J0690	 CeFAZolin Sodium 1 Gm  
J0692	 Cefepime 1 Gm in 50 mL Iso-Osmotic  
J0692	 Cefepime 2 Gm in 100 mL Iso Osmotic  
J0692	 Cefepime HCI 1 Gm  
J0692	 Cefepime HCI 2 Gm  
J0692	 Maxipime 1 Gm  
J0692	 Maxipime 2 Gm  
J0694	 Cefoxitin Sodium 1 Gm  
J0694	 Cefoxitin Sodium 2 Gm  
J0696	 Ceftriaxone 1 Gm in 50 mL IsoOsmoti  
J0696	 Ceftriaxone 2 Gm in 50 mL IsoOsmoti  
J0696	 Ceftriaxone Sod. 1 Gm  
J0696	 Ceftriaxone Sod. 2 Gm  
J0696	 Ceftriaxone Sodium 1 Gm  
J0696	 Ceftriaxone Sodium 10 Gm  
J0696	 Ceftriaxone Sodium 2 Gm  
J0696	 Ceftriaxone Sodium 500 mg  
J0696	 Rocephin 1 Gm  
J0696	 Rocephin 1 Gm in 50 mL Iso-Osmotic  
J0696	 Rocephin 2 Gm  
J0696	 Rocephin 2 Gm in 50 mL Iso-Osmotic  
J0696	 Rocephin Inj. 500 mg  
J0697	 Cefuroxime Sodium 1.5 Gm  
J0698	 Cefotaxime Sod. 2 Gm  
J0698	 Cefotaxime Sodium 1 Gm  
J0698	 Claforan 1 Gm  
J0698	 Claforan 2 Gm  
J0713	 Ceftazidime 1 Gm  
J0713	 Ceftazidime 2 Gm  
J0713	 Ceftazidime 6 Gm  
J0713	 Fortaz 1 Gm  
J0713	 Fortaz 1 Gm/SO mL in Iso-Osmotic Sol  
J0713	 Fortaz 2 Gm  
J0713	 Fortaz 2 Gm/SO mL in Iso-Osmotic So  
J0744	 Cipro I.V. 400 mg/40 mL  
J0744	 Cipro in D5W 200 mgl1 00 mL  
J0744	 Cipro in D5W 400 mg/200 mL  
J0744	 Ciprofloxacin 400 mg in D5W 200 mL  
J0744	 Ciprofloxacin in D5W 400 mg/200mL  
J0770	 Colistimethate Sodium 150 mg  
J0800	 Acthar HP Injection Gel 80 UNIT/ML  
J0834	 Cortrosyn 0.25 mg vial  
J0850	 CytoGam 50 mg/mL 50 mL SDV  
J0878	 Cubicin 500 mg  
J0881	 Aranesp (Albumin Free) 300 mcg/0.6m  
J0881	 Aranesp (Albumin Free) 500 mcg/mL  
J0881	 Aranesp Inj. 25 mcg/0.42 mL Syringe  
J0881	 Aranesp Injection 100 mcg/0.5 m L Sy  
J0881	 Aranesp Injection 150 mcg/0.3 mL S  
J0881	 Aranesp Injection 200 mcg/0.4 mL Sy  
J0881	 Aranesp Injection 40 mcg/0.4 mL Syr  
J0881	 Aranesp Injection 60 mcg/0.3 mL Syr  
J0885	 Procrit 10,000 units/mL  
J0885	 Procrit 3000 un its/m L  
J0885	 Procrit 4000 units/mL  
J0885	 Procrit Inj 20,000 units/2 mL MDV  
J0885	 Procrit Inj 20,000 units/mL 1 mL  
J0885	 Procrit Inj 40,000 units/mL  
J0885	 Procrit Inj. 2000 units/mL  
J0886	 Epogen 10,000 Units/mL 2 mL  
J0894	 Dacogen 50 mg for Inj.  
J0895	 Deferoxamine Mesylate 2 Gm  
J0895	 Deferoxamine Mesylate 500 mg  
J0895	 Deferoxamine Mesylate 500 mg Vial  
J0895	 Desferal 500 mg for Inj.  
J1030	 DEPO-Medrol Susp. 40 mg/mL 1 mL  
J1030	MethylPREDNISolone Acetate 40mg/mL  
J1040	 DEPO-Medrol Susp. 80 mg/mL 1 mL  
J1040	MethylPREDNISolone Acetate 80mg/mL  
J1080	 Depo-Testosterone 1M 200 mg/1 mL  
J1080	 Testosterone Cypionate 20.0 mg/mL  
J1100	 Dexamethasone 20 mg/5 mL  
J1100	 Dexamethasone MDV 120 mg/30 mL  
J1100	 Dexamethasone SDV 4mg/mL 1 mL  
J1100	 Dexamethasone Sod.Phos 20mg/5mL  
J1100	 Dexamethasone Sod.Phos. 10 mg/mL  
J1100	 Dexamethasone Sod.Phos. 4mg/mL 1 mL  
J1165	 Phenytoin Sodium 100 mg/2 mL CPJ  
J1165	 Phenytoin Sodium Inj 50 mg/mL  
J1170	 Hydromorphone HCI2 mg/mL 20 mLMDV  
J1170	 HYOROmorphone HCI SO mg/S mL SDPF  
J1200	 Diphenhydramine HCI Inj. 50 mg/mL  
J1250	 DOBUTamine 250 mg/20 mL SDV  
J1250	 DOBUTamine in D5W 500mg/250mL  
J1260	 Anzemet 100 mg/5 mL SDV  
J1267	 Doribax IV 500 mg  
J1325	 Epoprostenol Sodium Intravenous Sol  
J1325	 Flolan  
J1335	 Invanz 1 Gm  
J1364	 Erythrocin IV 500 mg  
J1438	 Enbrel Subcutaneous Kit 25 mg  
J1450	 Diflucan IV 200 mg/100 mL in Saline  
J1450	 Diflucan IV 400 mg/200 mL in N.S.  
J1450	 Fluconazole 200 mg in 100 mL Saline  
J1450	 Fluconazole 200 mg in Saline 100 mL  
J1450	 Fluconazole 200mg/100mL IsoOsm Sal  
J1450	 Fluconazole 400 mg in 200 mL Saline  
J1450	 Fluconazole 400 mg/200 mL NS PBV  
J1561	Gamunex IV 10% 50 mL
J1561	Gamunex IV 10% 100 mL
J1561	Gamunex IV 10% 200 mL
J1566	Gammagard S/D 10 Gm
J1566	Gammagard S/D 2.5 Gm
J1566	Gammagard S/D 5 Gm
J1566	Iveegam EN 5 GM
J1568	 Octagam IV Liquid 10 Gm/200 m L  
J1569	Gammagard IV 10% 10 Gm/100 mL
J1569	Gammagard IV 10% 2.5 Gm/25 mL
J1569	Gammagard IV 10% 20 Gm/200 mL
J1569	Gammagard IV 10% 5 Gm.50 mL
J1570	 Cytovene 500 mg for IV  
J1572	 Flebogamma 10 Gm/200 mL  
J1572	 Flebogamma 2.5 Gm/50 mL  
J1572	 Flebogamma 5 Gm/100 mL  
J1580	 Gentamicin 80 mg/2 mL  
J1580	 Gentamicin Sulfate 40 mg/mL 20 mL  
J1642	 Heparin Flush 10 units/mL 5/10 mL S  
J1642	 Heparin Flush 10 units/mL 5/12mL Sy  
J1642	 Heparin Flush 100 units/mL 5/12mL S  
J1642	 Heparin Flush 100 units/mL 5mL Syr  
J1642	 Heparin Flush 100 units/mL 3mL 10mL  
J1642	 Heparin Flush 100units/mL 5/10mL S  
J1642	 Heparin Flush 10 units/mL 1 mL in 6 m  
J1642	 Heparin Lock Flush 100units/mL 30mL  
J1642	 Heparin Lock Flush 300 units/3 mL S  
J1642	 Heparin Lock Flush 500 units/S mL S  
J1642	 Hep-Lock Flush 100 units/mL 10 mL  
J1644	 Heparin Sod (Porcine) 1000 units/mL  
J1644	 Heparin Sod. (Porc) 5000 units/mL  
J1644	 Heparin Sodium 10,000 units/mL  
J1644	 Heparin Sodium 10,000 units/mL MDV  
J1644	 Heparin Sodium (Porc) 5000 units/mL  
J1645	Fragmin 10,000 units/mL Syr.
J1645	Fragmin 15,000 units/0.6 mL Syringe
J1645	Fragmin 18,000 units/0.72 mL Syring
J1645	Fragmin 2500 IU/0.2 mL
J1645	Fragmin 5000 IU/0.2 mL
J1645	Fragmin 7500 units/0.3 mL
J1645	Fragmin Inj. 25,000 units/mL 3.8 mL
J1650	Lovenox 100 mg/mL 1 mL Syr
J1650	Lovenox 120 mg/0.8 mL SAF Syr
J1650	Lovenox 150 mg/mL SAF Syringe
J1650	Lovenox 30 mg/0.3 mL SAF Syr
J1650	Lovenox 300 mg/3mL MDV
J1650	Lovenox 40 mg/0.4 mL Syr
J1650	Lovenox 60 mg/0.6 mL SAF Syr
J1650	Lovenox 80 mg/0.8 mL Syr
J1652	 Arixtra 10 mg per 0.8 mL Syringe  
J1652	 Arixtra 2.5 mg per 0.5 mL Syr.  
J1652	 Arixtra 5 mg per 0.4 mL Syringe  
J1652	 Arixtra 7.5 mg per 0.6 mL Syringe  
J1740	 Boniva IV Kit 3 mg/3mL  
J1745	 Remicade for Inf 100 mg  
J1750	 Dexferrum SDV 100 mg/2 mL  
J1750	 Dexferrum SDV 50 mg/mL 1 mL  
